7	27	1	27												
			S-Wyndcliff												
		Tax23		Tax26		Tax36		Tax60		Tax86		Tax92		Tax362	
S-W1	S-Wyndcliff	154	154	0	0	186	186	154	154	202	202	268	268	0	0
S-W2	S-Wyndcliff	172	172	209	209	154	186	102	154	266	266	0	0	0	0
S-W3	S-Wyndcliff	176	176	223	223	156	201	102	102	266	266	231	231	0	0
S-W4	S-Wyndcliff	176	176	209	209	178	201	102	102	266	266	231	231	0	0
S-W5	S-Wyndcliff	154	154	205	237	174	174	154	154	202	297	163	223	85	85
S-W6	S-Wyndcliff	154	176	237	237	174	174	102	102	266	266	163	217	85	85
S-W7	S-Wyndcliff	176	176	209	209	186	186	102	102	0	0	213	213	0	0
S-W8	S-Wyndcliff	154	176	209	209	154	186	154	154	150	204	213	213	0	0
S-W9	S-Wyndcliff	172	172	223	223	166	166	100	100	208	208	206	206	99	99
S-W10	S-Wyndcliff	172	172	279	279	186	186	102	102	153	202	206	206	99	99
S-W11	S-Wyndcliff	154	172	205	205	158	158	156	156	0	0	266	266	111	111
S-W12	S-Wyndcliff	0	0	205	209	158	158	156	156	210	210	0	0	0	0
S-W13	S-Wyndcliff	172	172	205	205	176	176	102	102	210	210	192	192	115	115
S-W14	S-Wyndcliff	172	172	205	205	122	205	102	102	0	0	192	192	115	115
S-W15	S-Wyndcliff	154	154	237	237	122	186	102	102	264	264	268	268	0	0
S-W16	S-Wyndcliff	154	176	237	237	186	186	0	0	266	266	268	268	99	99
S-W17	S-Wyndcliff	176	176	209	209	174	174	102	102	264	264	217	217	91	91
S-W18	S-Wyndcliff	176	176	209	209	174	201	102	102	266	266	231	231	85	91
S-W19	S-Wyndcliff	176	176	209	223	174	174	154	154	266	266	268	268	85	85
S-W20	S-Wyndcliff	176	176	209	209	164	164	102	154	150	150	213	213	0	0
S-W21	S-Wyndcliff	176	176	209	209	164	164	102	102	150	150	213	213	91	91
S-W22	S-Wyndcliff	172	172	223	223	166	166	102	158	202	202	206	206	99	99
S-W23	S-Wyndcliff	0	0	279	279	186	186	102	158	208	208	206	206	99	99
S-W24	S-Wyndcliff	0	0	205	205	158	158	156	156	153	153	0	0	0	0
S-W25	S-Wyndcliff	172	172	223	223	158	158	144	144	208	208	266	266	0	0
S-W26	S-Wyndcliff	172	172	205	205	205	205	102	102	153	297	192	192	115	115
S-W27	S-Wyndcliff	154	172	223	223	156	205	154	154	210	210	217	217	95	95
